"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TalksApp","0","Talks List Screen","2","0","Check elements visibility","0"
"0","TalksApp","0","Talks List Screen","1","0","Search talks","0"
"0","TalksApp","0","Talks List Screen","1","0","Navigate back","0"
"0","TalksApp","0","Home Screen","4","0","Check elements visibility","0"
"0","TalksApp","0","Contacts Screen","2","0","Check elements visibility","0"
"0","TalksApp","0","Contacts Screen","1","0","Open contact","0"
"0","TalksApp","0","Navigation","3","0","Bottom navigation bar","0"
"0","TalksApp","0","Home Screen","1","0","Check text content","0"
"0","TalksApp","0","Talks List Screen","1","0","Open talk detail","0"
