"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","TalksApp","0","Talks List Screen","0","0","Navigate back","0"
"4","TalksApp","0","Home Screen","0","0","Check elements visibility","0"
"1","TalksApp","0","Talks List Screen","0","0","Open talk detail","0"
"1","TalksApp","0","Talks List Screen","0","0","Search talks","0"
"1","TalksApp","0","Home Screen","0","0","Check text content","0"
"0","TalksApp","0","Contacts Screen","2","0","Check elements visibility","0"
"3","TalksApp","0","Navigation","0","0","Bottom navigation bar","0"
"2","TalksApp","0","Talks List Screen","0","0","Check elements visibility","0"
"0","TalksApp","0","Contacts Screen","1","0","Open contact","0"
